Washer ID,Diagonal (px),Diameter (mm),Frame Count
3,74.73642893,28.04895143,1225
4,74.7320504,28.04720965,1267
6,73.61019378,27.60093509,1269
62,87.48995858,33.12230552,1264
9,74.43470006,27.92892368,1261
52,88.94610223,33.70155947,1259
14,74.58221163,27.98760379,1270
19,73.45619942,27.53967613,1273
61,82.27781685,31.04891554,1261
28,74.260144,27.85948528,1268
32,74.45353102,27.93641464,1303
36,74.57586445,27.98507888,1260
47,89.84019061,34.05722782,1185
23,74.00118962,27.75647323,1284
56,87.37468161,33.07644834,1257
12,74.1300652,27.80773994,1268
8,74.54598147,27.97319143,1270
66,83.21009298,31.41977499,1257
